1845893	4809639	《资本论》
1845895	4809640	《苏格拉底的申辩》
1845897	4809641	《尼各马可伦理学》
1845905	4809645	《论语译注》
1845907	4809646	《鲁迅选集》
1845911	4809648	《	老子》
1845913	4809649	《美学散步》
1845915	4809650	《西方美学史》
1845917	4809651	《美育书简》
1845919	4809652	《诗经直解》
1845921	4809653	《	宋词三百首笺注》
1845923	4809654	《乡土中国》
1845925	4809655	《管理的实践》
1845927	4809656	《论法的精神》
1845929	4809657	《影响力》
1845933	4809659	《社会契约论》
1845935	4809660	《国富论》
1845937	4809661	《孙子兵法》
1845941	4809663	《理想国》
1845945	4809665	《猜想与反驳》
1845947	4809666	《人生五大问题》
1845949	4809667	《史记》
1845951	4809668	《狭义与广义相对论浅说》
1845957	4809671	《追寻生命的意义》
1845959	4809672	《生存与命运》
1845961	4809673	《西行漫记——红星照耀中国》
1845965	4809675	《乌合之众：大众心理研究》
1845967	4809676	《人类简史》
1845969	4809677	《高科技高思维》
1845971	4809678	《时间简史》
1845973	4809679	《谈谈方法》
1845975	4809680	《未来简史》
1845977	4809681	《爆裂》
1845979	4809682	《	西方文明史》
1845981	4809683	《约翰克利斯朵夫》
1845983	4809684	《精神分析引论》
1845985	4809685	《人类的故事》
1845987	4809686	《哈姆雷特》（中英双语珍藏版）
1845989	4809687	《复活》
1845991	4809688	《The Spirit of The Chinese People》
1845995	4809690	《东方主义》
1845997	4809691	《The Moon and Sixpence 月亮与六便士》（双语读物中英文对照）
